USID,Profile,Band_700_cells,Band_1800_cells,Band_2600_cells,Band_3500_cells,4G_cells,5G_cells,Tower_height_m
USID_00,macro_5g,2,2,2,4,4,6,40
USID_01,macro_capacity,0,4,4,0,8,2,35
USID_02,macro_coverage,4,2,0,0,6,0,45
USID_03,macro_mixed,2,4,2,2,6,4,48
USID_04,macro_mixed,2,4,2,2,6,4,48
USID_05,micro_5g,0,0,4,4,2,8,20
USID_06,macro_5g,2,2,2,4,4,6,40
USID_07,macro_capacity,0,4,4,0,8,2,35
USID_08,macro_mixed,2,4,2,2,6,4,48
USID_09,macro_mixed,2,4,2,2,6,4,48
USID_10,macro_capacity,0,4,4,0,8,2,35
USID_11,macro_5g,2,2,2,4,4,6,40
USID_12,macro_5g,2,2,2,4,4,6,40
USID_13,legacy_coverage,2,2,0,0,4,0,38
USID_14,macro_capacity,0,4,4,0,8,2,35
USID_15,legacy_coverage,2,2,0,0,4,0,38
USID_16,macro_5g,2,2,2,4,4,6,40
USID_17,macro_capacity,0,4,4,0,8,2,35
USID_18,macro_capacity,0,4,4,0,8,2,35
USID_19,macro_5g,2,2,2,4,4,6,40
USID_20,macro_mixed,2,4,2,2,6,4,48
USID_21,micro_5g,0,0,4,4,2,8,20
USID_22,macro_mixed,2,4,2,2,6,4,48
USID_23,macro_coverage,4,2,0,0,6,0,45
USID_24,macro_5g,2,2,2,4,4,6,40
USID_25,macro_5g,2,2,2,4,4,6,40
USID_26,macro_capacity,0,4,4,0,8,2,35
USID_27,macro_mixed,2,4,2,2,6,4,48
USID_28,macro_5g,2,2,2,4,4,6,40
USID_29,macro_capacity,0,4,4,0,8,2,35
USID_30,macro_capacity,0,4,4,0,8,2,35
USID_31,micro_5g,0,0,4,4,2,8,20
USID_32,legacy_coverage,2,2,0,0,4,0,38
USID_33,macro_capacity,0,4,4,0,8,2,35
USID_34,macro_coverage,4,2,0,0,6,0,45
USID_35,macro_coverage,4,2,0,0,6,0,45
USID_36,macro_5g,2,2,2,4,4,6,40
USID_37,macro_capacity,0,4,4,0,8,2,35
USID_38,macro_mixed,2,4,2,2,6,4,48
USID_39,macro_5g,2,2,2,4,4,6,40
USID_40,macro_capacity,0,4,4,0,8,2,35
USID_41,micro_5g,0,0,4,4,2,8,20
USID_42,macro_capacity,0,4,4,0,8,2,35
USID_43,macro_capacity,0,4,4,0,8,2,35
USID_44,macro_capacity,0,4,4,0,8,2,35
USID_45,macro_coverage,4,2,0,0,6,0,45
USID_46,micro_5g,0,0,4,4,2,8,20
USID_47,macro_coverage,4,2,0,0,6,0,45
USID_48,macro_5g,2,2,2,4,4,6,40
USID_49,micro_5g,0,0,4,4,2,8,20
